,bathrooms,bedrooms,beds,room_type,accommodates,bed_type,guests_included,minimum_nights,maximum_nights,cancellation_policy,require_guest_phone_verification,require_guest_profile_picture,host_has_profile_pic,host_identity_verified,price,price_per_person,accom_per_bed,baths_per_bed,extra_guest_ratio,price_surge_percent,price_std_percent,cleaning_fee_percent,guest_fee_percent,property_type_Apartment,property_type_House,property_type_Other,neighborhood_Ballard,neighborhood_Beacon Hill,neighborhood_Capitol Hill,neighborhood_Cascade,neighborhood_Central Area,neighborhood_Downtown,neighborhood_Other neighborhoods,neighborhood_Queen Anne,neighborhood_Rainier Valley,neighborhood_University District,neighborhood_West Seattle
74,1.0,1.0,1.0,1,2,0,1,1,1125,0,0,0,1,1,70.0,35.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75,1.0,1.0,1.0,1,2,1,1,2,1125,1,0,0,1,1,55.0,27.5,2.0,1.0,0.5,5.146290491118077,9.778550276189122,45.45454545454545,18.181818181818183,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,1.0,1.0,2.0,1,4,1,2,2,90,1,0,0,1,1,95.0,23.75,2.0,0.5,0.5,0.0,0.0,31.57894736842105,36.84210526315789,0,1,0,1,0,0,0,0,0,0,0,0,0,0
77,1.0,1.0,1.0,1,2,1,1,1,1125,0,0,0,1,1,125.0,62.5,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
78,1.0,1.0,1.0,1,2,1,1,1,26,1,0,0,1,1,65.0,32.5,2.0,1.0,0.5,-9.465449804432858,15.207029691172139,69.23076923076923,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
79,1.0,1.0,1.0,1,1,0,1,1,1125,0,0,0,1,1,25.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
80,1.0,0.0,2.0,2,4,1,2,5,1125,2,0,0,1,1,40.0,10.0,2.0,0.5,0.5,0.0,0.0,125.0,25.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81,1.0,3.0,4.0,2,6,1,4,1,1125,1,0,0,1,1,149.0,24.833333333333332,1.5,0.25,0.6666666666666666,16.852462745990216,25.99162315715042,0.0,13.422818791946309,0,1,0,1,0,0,0,0,0,0,0,0,0,0
82,1.5,1.0,1.0,2,2,1,0,3,1125,2,0,0,1,1,125.0,62.5,2.0,1.5,0.0,5.875706214689269,9.04795706887717,60.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
83,0.5,1.0,1.0,1,2,1,1,1,1125,0,0,0,1,1,55.0,27.5,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84,1.0,1.0,3.0,2,4,1,1,5,999,2,0,0,1,1,129.0,32.25,1.3333333333333333,0.3333333333333333,0.25,2.9241031188029565,6.157433950290284,58.139534883720934,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85,1.0,1.0,1.0,2,2,1,1,1,1125,2,0,0,1,1,100.0,50.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
86,2.0,2.0,2.0,2,4,1,1,2,1125,1,0,0,1,0,150.0,37.5,2.0,1.0,0.25,3.8242894056847554,6.042088654792583,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
87,1.0,1.0,1.0,1,1,1,1,1,1125,0,0,0,1,1,50.0,50.0,1.0,1.0,1.0,0.0,0.0,20.0,40.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88,1.0,2.0,3.0,2,6,1,4,5,15,1,0,0,1,1,99.0,16.5,2.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
89,1.5,1.0,1.0,2,2,1,2,2,1125,2,0,0,1,1,150.0,75.0,2.0,1.5,1.0,-0.3582089552238821,3.2633947486548873,40.0,33.33333333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0
90,1.0,1.0,3.0,2,4,1,1,2,1125,0,0,0,1,1,105.0,26.25,1.3333333333333333,0.3333333333333333,0.25,-19.047619047619047,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91,4.0,3.0,3.0,2,7,1,4,14,60,2,0,0,1,1,218.0,31.142857142857142,2.3333333333333335,1.3333333333333333,0.5714285714285714,1.3070252607766841,2.073401009556517,137.61467889908258,6.8807339449541285,0,1,0,1,0,0,0,0,0,0,0,0,0,0
92,1.5,2.0,2.0,2,5,1,1,1,7,1,0,0,1,1,80.0,16.0,2.5,0.75,0.2,93.29687499999999,83.47554305051939,93.75,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
93,1.0,1.0,1.0,2,2,1,2,2,1125,1,0,0,1,0,126.0,63.0,2.0,1.0,1.0,12.536796536796535,9.051119159734752,75.39682539682539,19.841269841269842,1,0,0,1,0,0,0,0,0,0,0,0,0,0
94,1.0,1.0,2.0,2,4,1,2,1,1125,2,0,0,1,0,115.0,28.75,2.0,0.5,0.5,-11.413043478260864,4.352763994382053,43.47826086956522,43.47826086956522,1,0,0,1,0,0,0,0,0,0,0,0,0,0
95,2.0,2.0,2.0,2,4,1,1,2,10,0,0,0,1,1,225.0,56.25,2.0,1.0,0.25,0.0,0.0,33.33333333333333,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
96,1.0,1.0,1.0,2,2,0,2,2,14,1,0,0,1,1,89.0,44.5,2.0,1.0,1.0,2.4383010972354846,6.212475789710921,11.235955056179774,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
97,2.5,3.0,5.0,2,8,1,1,3,1125,2,1,1,1,1,225.0,28.125,1.6,0.5,0.125,14.071836186639807,27.373746945377707,117.33333333333333,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
98,1.0,0.0,1.0,2,1,1,1,1,1125,0,0,0,1,0,50.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,1.0,1.0,2.0,2,4,1,1,3,45,2,0,0,1,1,134.0,33.5,2.0,0.5,0.25,5.2162914242347425,22.053073496245435,74.6268656716418,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
100,1.0,1.0,1.0,2,2,1,1,3,1125,1,0,0,1,1,75.0,37.5,2.0,1.0,0.5,0.0,0.0,133.33333333333331,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
101,1.0,1.0,1.0,1,2,1,2,1,1125,1,0,0,1,1,65.0,32.5,2.0,1.0,1.0,14.082840236686401,14.085285131799807,0.0,23.076923076923077,0,1,0,1,0,0,0,0,0,0,0,0,0,0
102,2.5,3.0,4.0,2,6,1,1,1,1125,1,0,0,1,1,375.0,62.5,1.5,0.625,0.16666666666666666,-13.46409550045914,18.780608398334785,26.666666666666668,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103,1.0,1.0,2.0,2,3,1,2,2,1125,2,0,0,1,1,97.0,32.333333333333336,1.5,0.5,0.6666666666666666,7.374166161309881,13.3571947351116,46.391752577319586,10.309278350515463,0,1,0,1,0,0,0,0,0,0,0,0,0,0
104,1.0,1.0,1.0,2,2,1,2,2,35,1,0,0,1,1,145.0,72.5,2.0,1.0,1.0,6.214733542319739,12.882970764922325,31.03448275862069,17.24137931034483,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105,1.0,2.0,4.0,2,5,1,1,5,1125,2,0,0,1,1,129.0,25.8,1.25,0.25,0.2,7.36310275651979,8.674066224707113,58.139534883720934,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
106,1.5,3.0,4.0,2,6,1,1,4,29,2,0,0,1,1,197.0,32.833333333333336,1.5,0.375,0.16666666666666666,7.686729514140689,12.170515750341632,91.37055837563452,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
107,1.0,1.0,1.0,2,2,1,2,2,28,1,0,0,1,1,120.0,60.0,2.0,1.0,1.0,4.843304843304841,7.58352915524151,50.0,16.666666666666664,1,0,0,1,0,0,0,0,0,0,0,0,0,0
108,1.0,1.0,1.0,2,4,1,4,2,90,0,0,0,1,1,200.0,50.0,4.0,1.0,1.0,0.0,0.0,0.0,50.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2.0,2.0,2.0,2,5,1,4,1,1125,1,0,0,1,1,135.0,27.0,2.5,1.0,0.8,0.0,0.0,37.03703703703704,11.11111111111111,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,1.0,1.0,1.0,1,2,0,2,1,1125,1,0,0,1,1,70.0,35.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
111,1.0,1.0,2.0,2,2,1,1,2,1125,0,0,0,1,1,150.0,75.0,1.0,0.5,0.5,0.0,0.0,20.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
112,1.0,1.0,1.0,2,3,1,1,2,1125,1,0,0,1,1,200.0,66.66666666666667,3.0,1.0,0.3333333333333333,0.0,0.0,25.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
113,1.0,1.0,1.0,1,2,1,1,1,26,1,0,0,1,1,60.0,30.0,2.0,1.0,0.5,-22.3404255319149,10.743268729925347,91.66666666666666,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114,3.0,3.0,5.0,2,5,1,1,5,1125,2,0,0,1,0,180.0,36.0,1.0,0.6,0.2,0.0,0.0,83.33333333333334,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
115,1.0,1.0,1.0,1,3,1,2,1,1125,1,0,0,1,1,69.0,23.0,3.0,1.0,0.6666666666666666,10.55174167302313,11.930029253461347,0.0,21.73913043478261,1,0,0,1,0,0,0,0,0,0,0,0,0,0
116,1.0,0.0,1.0,2,3,1,2,1,1125,0,0,0,1,1,90.0,30.0,3.0,1.0,0.6666666666666666,3.035714285714297,4.618662829439526,27.77777777777778,16.666666666666664,1,0,0,1,0,0,0,0,0,0,0,0,0,0
117,1.0,1.0,1.0,2,2,1,2,1,1125,0,0,0,1,1,80.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
118,1.5,1.0,1.0,1,2,1,1,1,1125,0,0,0,1,0,65.0,32.5,2.0,1.5,0.5,-19.694055944055943,15.989024034379554,38.46153846153847,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119,1.5,2.0,2.0,2,5,1,2,4,1125,1,0,0,1,1,150.0,30.0,2.5,0.75,0.4,3.750000000000009,5.744562646538028,60.0,6.666666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0
120,1.5,2.0,3.0,2,6,1,4,1,1125,1,0,0,1,1,195.0,32.5,2.0,0.5,0.6666666666666666,7.238985692024369,16.68900636535549,0.0,10.256410256410255,0,1,0,1,0,0,0,0,0,0,0,0,0,0
121,1.0,1.0,1.0,2,4,1,1,1,7,0,0,0,1,1,149.0,37.25,4.0,1.0,0.25,4.2102174790039415,9.933017810896526,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
122,3.0,2.0,2.0,2,5,1,1,3,1125,2,0,0,1,1,224.0,44.8,2.5,1.5,0.2,19.892367906066543,16.732614680522147,53.57142857142857,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
